	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodinium_seqs	post_taxa_id_unique_symbiodinium_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodinium_seqs	post_taxa_id_unique_non_symbiodinium_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	A1	A1g	A1l	A1ds	A1z	A1cr	A1o	A1dr	A1dp	A1p	A1dq	A1dm	A1dn	A1bh	70739_A	A1do	70740_A	70738_A	A1dl	A1du	A1dx	4527_A	10098_A	10096_A	8504_A	30814_A	9390_A	70742_A	70741_A	70736_A	10672_A	10539_A	54515_A	54877_A	54878_A	54511_A	7561_A	8177_A	60672_A	1090_A	54512_A	1438_A	1068_A	54897_A	54921_A	10929_A	C15h	C15ao	C15t	C15as	C15at	10939_C	D4	D1	D4c
45882	S2_E_ST_30B	2.782338021673968	1.0190223656905695	0.014756744293290294	1.0176389209130736	0.014526170163707632	0.0	0.0	0.001383444777495965	0.00023057412958266084	1.0	0.0010375835831219738	0	0	0	0	0	0	0	0	0	0.1572515563753747	0.30378141572515566	0.16993313350242104	0	0	0.09730228268388287	0.07666589808623472	0	0.07009453539312889	0.04726769656444547	0.040926908000922295	0	0.036776573668434405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45776	S2_E_LT_33A	1.7737516570923553	1.0183630382481466	0.022683753130063336	1.0183630382481466	0.022683753130063336	0.0	0.0	0.0	0.0	1.0	0.0004909903274905484	0	0	0	0	0	0	0	0	0	0.13119261550547454	0.3298964010408995	0.2061668385132813	0	0	0.07924583885697452	0.06299405901703736	0	0.07075170619138803	0.04846074532331713	0.04085039524721363	0	0.030441400304414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45767	S1_E_LT_35A	1.7045671138479583	1.0151381863499744	0.02433839161351807	1.014918261124551	0.024265083205043617	0.0	0.0	0.00021992522542335605	7.330840847445201e-05	1.0	0.0004031962466094861	0	0	0	0	0	0	0	0	0	0.28898174620628986	0.24759914962246168	0.12264496737775823	0	0	0.0973902206583095	0.08353493145663808	0	0.039146690125357375	0.05384502602448501	0.028590279305036288	0	0.03826698922366396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45908	S6_E_ST_36B	2.6655431432973806	1.0293721109399077	0.01666024653312789	1.0192604006163328	0.015119414483821264	0.0	0.0	0.01011171032357473	0.0015408320493066256	1.0	0.0008667180277349769	0	0	0	0	0	0	0	0	0	0.1574537750385208	0.2918913713405239	0.15254237288135594	0	0	0.09938366718027734	0.08994607087827426	0	0.07867873651771957	0.04564714946070878	0.0399653312788906	0	0.04449152542372881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45777	S2_E_LT_35A	1.7524805339265852	1.0131701890989988	0.0257174638487208	1.0131701890989988	0.0257174638487208	0.0	0.0	0.0	0.0	1.0	0.0004449388209121246	0	0	0	0	0	0	0	0	0	0.2611790878754171	0.25659621802002225	0.16565072302558398	0	0	0.07768631813125695	0.12649610678531703	0	0.033859844271412684	0.031101223581757508	0.022513904338153503	0	0.024916573971078975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45901	S5_E_ST_33B	2.6488833746898264	1.013075014315709	0.014792899408284023	1.013075014315709	0.014792899408284023	0.0	0.0	0.0	0.0	1.0	0.000954380606986066	0	0	0	0	0	0	0	0	0	0.12941401030731056	0.294999045619393	0.18075968696316091	0	0	0.09238404275625119	0.08875739644970414	0	0.07988165680473373	0.05067761023096011	0.047432716167207484	0	0.03569383470127887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45914	S7_E_ST_36B	2.5752220752220754	1.0182385182385183	0.015025515025515026	1.0182385182385183	0.015025515025515026	0.0	0.0	0.0	0.0	1.0	0.0008505008505008505	0	0	0	0	0	0	0	0	0	0.13305613305613306	0.27792477792477793	0.1958041958041958	0	0	0.08675108675108675	0.10102060102060102	0	0.07871857871857872	0.04554904554904555	0.04536004536004536	0	0.035815535815535815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45884	S2_E_ST_36B	2.953545836422041	1.01704966641957	0.013713862120088955	1.01704966641957	0.013713862120088955	0.0	0.0	0.0	0.0	1.0	0.001111934766493699	0	0	0	0	0	0	0	0	0	0.16580182851494935	0.2876204595997035	0.16481344205584383	0	0	0.09649122807017543	0.0826538176426983	0	0.07165801828514949	0.046083518655794416	0.04274771435631332	0	0.04212997281937238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45815	S6_E_LT_31A	1.742083839932336	1.0142200137442512	0.02130358936406407	1.0142200137442512	0.02130358936406407	0.0	0.0	0.0	0.0	1.0	0.0005286250462546915	0	0	0	0	0	0	0	0	0	0.13580377438283026	0.3188666279008299	0.18649891631865517	0	0	0.08510863244700534	0.07591055664217371	0	0.07675635671618121	0.0474705291536713	0.040228366019982024	0	0.03335624041867104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45907	S6_E_ST_33B	3.1163939051918734	1.0108634311512414	0.011568848758465011	1.0108634311512414	0.011568848758465011	0.0	0.0	0.0	0.0	1.0	0.0014108352144469526	0	0	0	0	0	0	0	0	0	0.16224604966139955	0.29317155756207675	0.1574492099322799	0	0	0.0984762979683973	0.08831828442437924	0	0.0743510158013544	0.04542889390519187	0.0447234762979684	0	0.0358352144469526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
