sample.ID	location	coral.species	experiment	temperature	temp.intensity	reef.site	genotype	surface.area_cm2	total.host.protein.in.sample_mg	host.protein_mg_cm2
S1-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Exposed	1E	12.25085952	3.506217774	0.286201778
S2-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Exposed	2E	16.78462848	3.691234456	0.219917555
S3-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Exposed	3E	11.38167936	2.800381299	0.246042891
S4-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Exposed	4E	10.89055488	3.888166732	0.357021913
S5-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Exposed	5E	12.73531584	4.356774557	0.342101807
S6-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Exposed	6E	21.31912224	4.41548594	0.207113871
S7-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Exposed	7E	11.32195584	3.148749946	0.278110071
S1-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Exposed	1E	20.7285552	4.452099311	0.214780976
S2-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Exposed	2E	13.57130016	3.434290914	0.253055409
S3-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Exposed	3E	12.72835776	2.885740283	0.226717408
S4-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Exposed	4E	23.18809152	4.45751549	0.192232961
S5-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Exposed	5E	9.56054688	3.836171411	0.401250207
S6-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Exposed	6E	14.20738464	4.074699944	0.286801551
S7-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Exposed	7E	12.91796544	3.929762988	0.304209127
S1-E-LT-35A	KAUST	Stylophora	CLASSIC	35	High	Exposed	1E	13.19730336	2.062047749	0.156247659
S2-E-LT-35A	KAUST	Stylophora	CLASSIC	35	High	Exposed	2E	18.1750848	2.95485073	0.162576998
S3-E-LT-35A	KAUST	Stylophora	CLASSIC	35	High	Exposed	3E	9.12784128	0.925733351	0.101418651
S4-E-LT-35A	KAUST	Stylophora	CLASSIC	35	High	Exposed	4E	14.20781952	2.231249188	0.157043745
S5-E-LT-35A	KAUST	Stylophora	CLASSIC	35	High	Exposed	5E	18.34338336	3.423458555	0.186631795
S6-E-LT-35A	KAUST	Stylophora	CLASSIC	35	High	Exposed	6E	16.29799776	0	
S7-E-LT-35A	KAUST	Stylophora	CLASSIC	35	High	Exposed	7E	17.80529184	3.514233719	0.197370184
S1-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Protected	1P	7.1588496	1.924476797	0.268824868
S2-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Protected	2P	15.27414528	1.972139174	0.129116172
S3-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Protected	3P	7.653888	1.907361671	0.24920167
S4-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Protected	4P	10.64644224	1.969756055	0.185015427
S5-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Protected	5P	7.65736704	1.174660947	0.153402722
S6-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Protected	6P	14.37481344	3.122318991	0.217207618
S7-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	Protected	7P	8.71658976	2.537371637	0.291096829
S1-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Protected	1P	6.37331136	1.523246241	0.239003895
S2-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Protected	2P	24.5931888	4.367173621	0.17757655
S3-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Protected	3P	20.6937648	2.637895923	0.127472983
S4-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	Protected	4P	16.13738208	2.732570735	0.169331724
