sample.ID	location	coral.species	experiment	temperature	temp.intensity	replicate.group	tank	reef.site	genotype	raw.PAM.yield	yield
S6-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Exposed	6E	648	0.648
S3-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Exposed	3E	638	0.638
S4-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Exposed	4E	606	0.606
S5-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Exposed	5E	659	0.659
S1-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Exposed	1E	667	0.667
S2-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Exposed	2E	658	0.658
S7-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Protected	7P	614	0.614
S4-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Protected	4P	639	0.639
S3-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Protected	3P	634	0.634
S6-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Protected	6P	640	0.64
S1-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Protected	1P	631	0.631
S5-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Protected	5P	637	0.637
S2-P-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Protected	2P	655	0.655
S7-E-LT-31A	KAUST	Stylophora	CLASSIC	31	Control	A	A1	Exposed	7E	614	0.614
S1-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Exposed	1E	627	0.627
S2-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Exposed	2E	623	0.623
S6-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Exposed	6E	627	0.627
S7-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Exposed	7E	569	0.569
S3-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Exposed	3E	593	0.593
S5-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Exposed	5E	639	0.639
S4-E-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Exposed	4E	634	0.634
S3-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Protected	3P	627	0.627
S2-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Protected	2P	649	0.649
S1-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Protected	1P	637	0.637
S6-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Protected	6P	602	0.602
S4-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Protected	4P	629	0.629
S5-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Protected	5P	626	0.626
S7-P-LT-33A	KAUST	Stylophora	CLASSIC	33	Medium	A	A2	Protected	7P	585	0.585
S5-E-LT-35A	KAUST	Stylophora	CLASSIC	35	High	A	A3	Exposed	5E	113	0.113
