sample.ID	location	coral.species	experiment	temperature	temp.intensity	reef.site	genotype	red	green	blue	replicate
S1-E-ST-30B	KAUST	Stylophora.pistillata	CBASS	30	Control	Exposed	1E	228.55	187.45	132.75	B
S2-E-ST-30B	KAUST	Stylophora.pistillata	CBASS	30	Control	Exposed	2E	201.55	157.25	99.9	B
S3-E-ST-30B	KAUST	Stylophora.pistillata	CBASS	30	Control	Exposed	3E	173.5	139.2	99.6	B
S4-E-ST-30B	KAUST	Stylophora.pistillata	CBASS	30	Control	Exposed	4E	216.4	174.85	126.6	B
S5-E-ST-30B	KAUST	Stylophora.pistillata	CBASS	30	Control	Exposed	5E	244.3	211.4	135.25	B
S6-E-ST-30B	KAUST	Stylophora.pistillata	CBASS	30	Control	Exposed	6E	209.4	160.2	103.5	B
S7-E-ST-30B	KAUST	Stylophora.pistillata	CBASS	30	Control	Exposed	7E	191.15	161.35	74.1	B
S1-E-ST-33B	KAUST	Stylophora.pistillata	CBASS	33	Medium	Exposed	1E	186.45	136.05	80.9	B
S2-E-ST-33B	KAUST	Stylophora.pistillata	CBASS	33	Medium	Exposed	2E	174.15	123.5	79	B
S3-E-ST-33B	KAUST	Stylophora.pistillata	CBASS	33	Medium	Exposed	3E	203.05	166.85	124.65	B
S5-E-ST-33B	KAUST	Stylophora.pistillata	CBASS	33	Medium	Exposed	5E	195.4	154.25	87.95	B
S6-E-ST-33B	KAUST	Stylophora.pistillata	CBASS	33	Medium	Exposed	6E	228.6	170.6	117.7	B
S7-E-ST-33B	KAUST	Stylophora.pistillata	CBASS	33	Medium	Exposed	7E	207	173.7	102.25	B
S1-E-ST-36B	KAUST	Stylophora.pistillata	CBASS	36	High	Exposed	1E	233	182.8	122.2	B
S2-E-ST-36B	KAUST	Stylophora.pistillata	CBASS	36	High	Exposed	2E	174.15	123.5	79	B
S3-E-ST-36B	KAUST	Stylophora.pistillata	CBASS	36	High	Exposed	3E	208.9	166.15	110.95	B
S4-E-ST-36B	KAUST	Stylophora.pistillata	CBASS	36	High	Exposed	4E	232	195.05	135.45	B
S5-E-ST-36B	KAUST	Stylophora.pistillata	CBASS	36	High	Exposed	5E	218.7	187	131.1	B
S6-E-ST-36B	KAUST	Stylophora.pistillata	CBASS	36	High	Exposed	6E	242.1	196.85	111.5	B
S7-E-ST-36B	KAUST	Stylophora.pistillata	CBASS	36	High	Exposed	7E	249.9	230.05	152.85	B
S1-E-ST-39B	KAUST	Stylophora.pistillata	CBASS	39	Extreme	Exposed	1E	219.55	202.15	159.85	B
S2-E-ST-39B	KAUST	Stylophora.pistillata	CBASS	39	Extreme	Exposed	2E	244.05	226.45	145.1	B
